Rajzszám;Típus;Megnevezés;Program;Súly/Darab_(kg);Db/Paletta;Db/Doboz;Doboz/Paletta;Zsilip;Hossz (mm);Szél (mm);Mag (mm);Doboz méretei;F9;LF doboz_típusa;darab/_LF doboz;doboz súlya;teli doboz súlya;preferált AKL
CF551CRPAM03;;Csapágy alátét;VS&HV;;;300;;;250;210;100;;32;LF322;360;;;AKL1
VP3M5H-19E796-BA;;FH-csapágy;VS&HV;;;;;;;;;;;LF221;250;;;AKL1
CT500CRPCC02;;ECV zéger;HV;;;6000;;;335;220;100;;1;LF322;6000;;;AKL1
E505MGGAA01;;ECV Fox&Dragon;HV;;;48;;;385;210;100;;72;LF532;96;;;AKL1
CF531CRPAA02;;Pozícionáló csap;VS&HV;;;5500;;;120;110;181;;30;LF221;800;;;AKL1
CF572CRPAA02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAB02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAC02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAD02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAE02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAF02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
CF572CRPAG02;;Kuplung alátét;VS&HV;;;10000;;;220;180;180;;80;LF211;1000;;;AKL1
