Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS
VPCV6H-67738-AA;Olajbetöltő csavar;0,005;3000;250;195;165;42;;3000;LF221;500;AKL1;;16;42;126000;;;;VS;VS;;;
VPDEDH-19D644-BA;PRV szelep;0,014982;900;525;210;100;40;;900;RK621;750;AKL1;;14,4838;40;36000;;;;VS;VS;;;
VPFV6H-3N603-AA;SDD szelep;0,0084;324;420;200;170;40;;324;nincs;162;AKL1;;3,7216;40;12960;;;;VS;VS;;;
W500800-S437;Kábeltartó csavar;0,0034;4000;255;210;145;30;;4000;LF221;500;AKL1;;14,6;30;120000;;;;VS;VS;;;
W520413-S440;Porvédő anya;0,006992;1800;270;240;120;48;;1800;LF221;1000;AKL1;;13,5856;48;86400;;;;D/E;VS&HV;;;
W701890-S439;Új tőcsavar;0,014074;1000;245;235;145;27;;1000;LF221;500;AKL1;;15,074;27;27000;;;;D/E;VS&HV;;;
W704579-S403;Kuplung rézszínű zéger;0,082;1200;340;230;115;1;;1200;LF322;1200;AKL1;;99,4;1;1200;;;;VS;VS;;;
W706617-S430;Cylinder zéger;0,0013;1000;255;180;140;1;;1000;LF322;500;AKL1;;2,3;1;1000;;;;VS;VS;;;
W711877-S437;Kuplung csavar;0,006583;2000;245;235;145;27;;2000;LF221;1000;AKL1;;14,166;27;54000;;;;D/E;VS&HV;;;
CA546CRPAA02;PRV szelep;0,005902;900;525;210;100;60;;900;RK621;750;AKL1;;6,3118;60;54000;;;;B2;HV;;;
CA570CRPAA03;Olajbetöltő csavar;0,0114;1000;235;200;160;60;;1000;LF321;1000;AKL1;;12,4;60;60000;;;;D/E;HV;;;
CE440MGGAA01;ECV-kábel;0,02;400;585;395;215;16;;400;LF322;200;AKL1;;9;16;6400;;;;D/E;HV;;;
CE505CRPAA02;ECV szelep 2.0;0,1;60;385;210;100;72;;60;LF532;120;AKL1;;7;72;4320;;;;B2;HV;;;
CF514CRPAA04;Szívószelep;0,015;500;215;215;140;48;;500;LF321;500;AKL1;;8,5;48;24000;;;;B1;HV14;;;
CF514CRPBA02;Szívószelep;0,019068;500;260;170;160;48;;500;LF321;500;AKL1;;10,534;48;24000;;;;B1;HV17;;;
CF516CRPAD02;Szeleptartó;0,16;5600;1000;930;0;;;5600;LF321;120;AKL1;;897;0;0;;;;B1;HV14;;;
CF516CRPBD02;Szeleptartó;0,202;4032;1080;740;550;;;4032;LF321;120;AKL1;;815,464;0;0;;;;B1;HV17;;;
CF517CRPAA03;Nyomószelep;0,01;1000;220;220;130;48;;1000;LF221;500;AKL1;;11;48;48000;;;;B1;HV14;;;
CF517CRPBA03;Nyomószelep;0,014074;500;270;180;150;32;;500;LF221;400;AKL1;;8,037;32;16000;;;;B1;HV17;;;
CF530CRPAA02;Csuklócsap;0,0138;1000;330;230;100;40;;1000;LF321;1000;AKL1;;14,8;40;40000;;;;A1;HV;;;
CF552CRPAA03;Futógyűrű;18;300;305;230;175;32;;300;LF322;300;AKL1;;5401;32;9600;;;;B1;HV;;;
CF562CRPAA02;Papucs 1;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAB02;Papucs 2;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAC02;Papucs 3;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAD02;Papucs 4;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAE02;Papucs 5;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAF02;Papucs 6;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAG02;Papucs 7;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAH02;Papucs 8;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAI02;Papucs 9;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAJ02;Papucs 10;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAK02;Papucs 11;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF562CRPAL02;Papucs 12;0,005;1000;250;160;80;100;;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;
CF574CRPAA02;Kisrugó;0,005;2190;400;300;280;24;;2190;LF511;900;AKL1;;11,95;24;52560;;;;A1;HV;;;
CF575CRPAA02;Nagyrugó;0,005;1000;390;300;280;24;;1000;EF4120;500;AKL1;;6;24;24000;;;;MOSÓ;HV;;;
