;;;;Betárolás ládatípus;Betárolás darab;;;;Palettán láévő dobozok száma;Kitárolás láda típus;Kitárolás darb
Rajzszám;Megnevezés;Program;súly/darab_(kg);;darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;LF doboz_típusa;darab/_LF doboz
F518FYHAB02;Cylinder tömítés;HV14;0,087;;1000;300;290;120;40;LF321;800
CT520CRPAA03;C-klip;HV;;;9000;205;205;77;100;LF221;3600
CT500CRPBB03;Cylinder-zéger;HV;;;4000;255;178;130;80;LF221;1500
CF551CRPAA03;Csapágy alátét;VS&HV;;;420;250;210;100;32;LF322;360
CF551CRPAK03;Csapágy alátét;VS&HV;;;300;250;210;100;32;LF322;360
CF551CRPAL03;Csapágy alátét;VS&HV;;;300;250;210;100;32;LF322;360
CF551CRPAM03;Csapágy alátét;VS&HV;;;300;250;210;100;32;LF322;360
VP3M5H-19E796-BA;FH-csapágy;VS&HV;;;;;;;;LF221;250
CT500CRPCC02;ECV zéger;HV;;;6000;335;220;100;1;LF322;6000
E505MGGAA01;ECV Fox&Dragon;HV;;;48;385;210;100;72;LF532;96
CF531CRPAA02;Pozícionáló csap;VS&HV;;;5500;120;110;181;30;LF221;800
CF572CRPAA02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAB02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAC02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAD02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAE02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAF02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
CF572CRPAG02;Kuplung alátét;VS&HV;;;10000;220;180;180;80;LF211;1000
