Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS;Alkatrész csomagolása a dobozban
VPCE8H-19C889-LA;Porvédő kupak (szürke);0,011;900;695;395;240;12;;900;LF322;200;AKL1;;10,9;12;10800;;;;D/E;VS&HV;;;;
VPCE8H-19C889-MA;Porvédő kupak (sárga);0,011;900;695;395;240;12;;900;LF322;200;AKL1;;10,9;12;10800;;;;D/E;VS&HV;;;;
VPCEDH-19D970-DA;Fronthead tömítés;0,003;1000;325;290;120;40;;1000;LF221;400;AKL1;;4;#HIÁNYZIK;#HIÁNYZIK;;;;VS;VS;;;;
VPCEDH-19D769-CA;Futógyűrű;0,018;300;305;230;175;32;;600;LF221;150;AKL1;;11,8;32;19200;;;;VS;VS;;;;
VPCEDH-19D970-EA;Rear head tömítés;0,012;1000;325;290;120;40;;1000;LF221;400;AKL1;;13;40;40000;;;;VS;VS;;;;
VPCV6H-17325-AA;ECV zégergyűrű;0,002;4900;240;185;135;14;EG 64/17 AUER;4900;nincs;2500;AKL1;;10,8;14;68600;;;;VS;VS;;;;PE tasak/175/rúd
VPCV6H-19E820-AC;ECV szelep;0,155;48;385;210;100;72;EG 64/27 AUER;96;LF532;96;AKL1;;15,88;72;6912;;;;VS;VS;;;;Műanyag tálca
VPCV6H-3N603-AB;SDD szelep;0,009;576;425;260;170;40;EG 64/27 AUER;192;LF532;576;AKL1;;2,728;40;7680;;;;VS;VS;;;;
VPCV6H-50684-AA;Szegecs;0,0024;5000;230;200;165;60;;5000;LF221;1000;AKL1;;13;60;300000;;;;VS;VS;;;;PE tasak
VPCV6H-67738-AA;Olajbetöltő csavar;0,005;3000;250;195;165;42;;3000;LF221;500;AKL1;;16;42;126000;;;;VS;VS;;;;
VPDEDH-19D644-BA;PRV szelep;0,014982;900;525;210;100;40;EG 64/17 AUER;900;RK621;750;AKL1;;14,4838;40;36000;;;;VS;VS;;;;Műanyag cső
VPFV6H-3N603-AA;SDD szelep;0,0084;324;420;200;170;40;;324;LF532;162;AKL1;;3,7216;40;12960;;;;VS;VS;;;;
W500800-S437;Kábeltartó csavar;0,0034;4000;255;210;145;30;EG 64/17 AUER;4000;LF221;500;AKL1;;14,6;30;120000;;;;VS;VS;;;;Ömleszett
W520413-S440;Porvédő anya;0,006992;1800;270;240;120;48;EG 64/17 AUER;1800;LF221;1000;AKL1;;13,5856;48;86400;;;;D/E;VS&HV;;;;Ömleszett
W701890-S439;Új tőcsavar;0,014074;1000;245;235;145;27;EG 64/17 AUER;1000;LF221;500;AKL1;;15,074;27;27000;;;;D/E;VS&HV;;;;PE tasak
W704579-S403;Kuplung rézszínű zéger;0,0082;1200;340;230;115;1;EG 64/17 AUER;2400;LF322;1200;AKL1;;20,68;1;2400;;;;VS;VS;;;;PE tasak/600
W706617-S430;Cylinder zéger;0,0013;4000;255;180;140;1;EG 64/17 AUER;8000;LF322;500;AKL1;;11,4;1;8000;;;;VS;VS;;;;PE tasak/125/rúd
W711877-S437;Kuplung csavar;0,006583;2000;245;235;145;27;EG 64/17 AUER;2000;LF221;1000;AKL1;;14,166;27;54000;;;;D/E;VS&HV;;;;PE tasak
CA546CRPAA02;PRV szelep;0,005902;900;525;210;100;60;;900;EK6022L;750;AKL1;;6,3118;60;54000;;;;B2;HV;;;;
CA570CRPAA03;Olajbetöltő csavar;0,0114;1000;235;200;160;60;;1000;LF321;1000;AKL1;;12,4;60;60000;;;;D/E;HV;;;;
CE440MGGAA01;ECV-kábel;0,02;400;585;395;215;16;;400;LF322;200;AKL1;;9;16;6400;;;;D/E;HV;;;;
CE505CRPAA02;ECV szelep 2.0;0,1;60;385;210;100;72;;60;LF532;120;AKL1;;7;72;4320;;;;B2;HV;;;;
CF514CRPAA04;Szívószelep;0,015;500;215;215;140;48;;500;LF321;500;AKL1;;8,5;48;24000;;;;B1;HV14;;;;
CF514CRPBA02;Szívószelep;0,019068;500;260;170;160;48;;500;LF321;500;AKL1;;10,534;48;24000;;;;B1;HV17;;;;
CF516CRPAD02;Szeleptartó;0,16;5600;1000;930;0;;;5600;LF321;120;AKL1;;897;0;0;;;;B1;HV14;;;;
CF516CRPBD02;Szeleptartó;0,202;4032;1080;740;550;;96;4032;LF321;120;AKL1;;815,464;0;0;;;;B1;HV17;;;;
CF517CRPAA03;Nyomószelep;0,01;1000;220;220;130;48;;1000;LF221;500;AKL1;;11;48;48000;;;;B1;HV14;;;;
CF517CRPBA03;Nyomószelep;0,014074;500;270;180;150;32;;500;LF221;400;AKL1;;8,037;32;16000;;;;B1;HV17;;;;
CF530CRPAA02;Csuklócsap;0,0138;1000;330;230;100;40;;1000;LF321;1000;AKL1;;14,8;40;40000;;;;A1;HV;;;;
CF552CRPAA03;Futógyűrű;0,018;300;305;230;175;32;;300;LF322;300;AKL1;;6,4;32;9600;;;;B1;HV;;;;
CF562CRPAA02;Papucs 1;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAB02;Papucs 2;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAC02;Papucs 3;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAD02;Papucs 4;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAE02;Papucs 5;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAF02;Papucs 6;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAG02;Papucs 7;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAH02;Papucs 8;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAI02;Papucs 9;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAJ02;Papucs 10;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAK02;Papucs 11;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;PE tasak/500
CF562CRPAL02;Papucs 12;0,005;1000;250;160;80;100;EG 64/17 AUER;1000;LF221;1000;AKL1;;6;100;100000;;;;A2;HV;;;;
CF574CRPAA02;Kisrugó;0,005;2190;400;300;280;24;;2190;LF511;900;AKL1;;11,95;24;52560;;;;A1;HV;x;;;
CF575CRPAA02;Nagyrugó;0,005;1000;390;300;280;24;;1000;EF4120;500;AKL1;;6;24;24000;;;;MOSÓ;HV;x;;;
CF577CRPAA02;SDD szelep;0,005;780;425;260;175;40;;780;LF532;325;AKL1;;4,9;40;31200;;;;B2;HV;;;;
CF578CRPAA02;DSO szelep;0,005;1080;425;260;175;40;;1080;EK6022L;450;AKL1;;6,4;40;43200;;;;B2;HV;;;;
CG5B8CRPBA01;Cylinder tömítés;0,010651;1000;360;300;12;40;;1000;LF321;800;AKL1;;11,651;40;40000;;;;B1;HV17;;;;
CG5C8CRPAA02;Rear head tömítés;0,0373;300;300;290;120;40;;300;LF321;300;AKL1;;12,19;40;12000;;;;B1;HV14;;;;
CG5C8CRPBA02;Rear head tömítés;0,044948;500;360;300;12;40;;500;LF321;300;AKL1;;23,474;40;20000;;;;B1;HV17;;;;
